Part_number,Part_Type,Naming_Specific
024048LR,Jar,Resin Specific
008043RS,Jar,Resin Specific
008043TR,Jar,Resin Specific
008043TS,Jar,Resin Specific
004033RS,Jar,Resin Specific
004033TR,Jar,Resin Specific
004033TS,Jar,Resin Specific
002033TS,Jar,Resin Specific
RM100,,
SC100,,
SS100,,
AA110,,
RM110,,
SS110,,
VS110,,
FP120,,
RM120,,
SS120,,
192089RS,Jar,Resin Specific
192089TS,Jar,Resin Specific
SS132,,
224150RS,Jar,Resin Specific
016043RS,Jar,Resin Specific
016043TR,Jar,Resin Specific
016043TS,Jar,Resin Specific
NI015,CRC Inner,
NO015,,
016053DR,Jar,Resin Specific
016053DS,Jar,Resin Specific
256089RS,Jar,Resin Specific
256089TS,Jar,Resin Specific
256094DC,Jar,Resin Specific
CI020,CRC Inner,
CO020,,
DF020,dosage cup,
PO020,,
RL020,,
RX020,,
VE020,,
320089LR,Jar,Resin Specific
320089RS,Jar,Resin Specific
CI022,CRC Inner,
CO022,,
PO022,,
RX022,,
CI024,CRC Inner,Mold specific
CO024,,
DG024,dosage cup,
DH024,,
DI024,dosage cup,
DJ024,dosage cup,
KO024,,
PO024,,
RH024,,
RL024,,Customer Specific
RX024,,
SL024,,
384120RS,Jar,Resin Specific
032053RS,Jar,Resin Specific
032053TS,Jar,Resin Specific
032058DR,Jar,Resin Specific
032058DS,Jar,Resin Specific
032058RS,Jar,Resin Specific
032058TS,Jar,Resin Specific
032070TS,Jar,Resin Specific
CI028, CRC Inner,
CO028,,
DF028,dosage cup,
EZ028,,
KO028,,
PO028,,
PZ028,,
RL028,,
RS028,,
RX028,,
SL028,,
SS028,,
448150RS,Jar,Resin Specific
012033RS,Jar,Resin Specific
012043TR,Jar,Resin Specific
DF030,dosage cup,
512120RS,Jar,Resin Specific
AE033,,
CI033,CRC Inner,
CO033,,
DD033,,
DE033,,
DM033,,
EG033,,
EZ033,,
JT033,,
NP033,,
PO033,,
RS033,,
RX033,,
SE033,,
SS033,,
BB038,,
CI038,CRC Inner,Resin Specific
CL038,,
CO038,,
DE038,,
EG038,,
EO038,,
EZ038,,
GN038,,
GO038,,
HU038,,
JT038,,
LB038,,
NP038,,
PO038,,
PU038,,
RS038,,
RX038,,
SE038,,
SS038,,
US038,,
VI038,CRC Inner,
VN038,,
VS038,,
VV038,,
WG038,,
RS040,,
TR040,,
DM043,,
RS043,,
RX043,,
SI043,,
SO043,,
SS043,,
BM045,,
CI045,CRC Inner,Mold specific
CO045,,
DE045,,
EG045,,
EZ045,,
GN045,,
JC045,,
JO045,,
JT045,,
PO045,,
RS045,,
RX045,,
SS045,,
US045,,
VN045,,
VS045,,
ZO045,,
NP045,,
064058RS,Jar,Resin Specific
064070DR,Jar,Resin Specific
064070DS,Jar,Resin Specific
064070RS,Jar,Resin Specific
064070RT,Jar,Resin Specific
064070TS,Jar,Resin Specific
ET048,,
PC048,,
RC048,,
RD048,,
RM048,,
RS048,,
SI048,,
SO048,,
SS048,,
ST048,,
TB048,,
US048,,
064089RS,Jar,Resin Specific
AO053,,
BM053,,
BO053,,
CI053,CRC Inner,
CO053,,
DD053,,
DE053,,
DO053,,
DS053,,
EG053,,
GN053,,
GO053,,
JT053,,
LC053,,
NP053,,
OI053,,
PO053,,
QZ053,,
RC053,,
RM053,,
RS053,,
SI053,,
SM053,,
SO053,,
SS053,,
SW053,,
US053,,
VN053,,
ZO053,,
DD058,,
FF058,,
RM058,,
RS058,,
SS058,,
YI058,Olly Inner,
YO058,Olly Outer,
OV060,,
RR060,,
CI063,CRC Inner,
CO063,,
NQ063,,
PO063,,
RM063,,
RS063,,
SI063,,
SM063,,
SO063,,
SP063,,
SS063,,
SW063,,
TV063,,
US063,,
ZO063,,
SP064,,
096070DR,Jar,Resin Specific
096070DS,Jar,Resin Specific
096070RS,Jar,Resin Specific
096070TS,Jar,Resin Specific
CI070,CRC Inner,
CO070,,
DD070,,
DN070,,
GG070,,
HL070,,
RG070,,
RM070,,
SD070,,
SP070,,
SS070,,
VR070,,
YI073,Olly Inner,
YO073,Olly Outer,Mold specific
GG083,,
RG083,,
RM083,,
SS083,,
128070RS,Jar,Resin Specific
128070TS,Jar,Resin Specific
LB128,,
128083RT,Jar,Resin Specific
128089DR,Jar,Resin Specific
128089DS,Jar,Resin Specific
128089HW,Jar,Resin Specific
128089RS,Jar,Resin Specific
128089TS,Jar,Resin Specific
CI089,CRC Inner,Mold specific
CO089,,
DD089,,
DE089,,
HE089,,
LB089,,
MJ089,,
RM089,,
SS089,,
VR089,,
VS089,,
020038LR,Jar,Resin Specific
256089LR,Jar,Resin Specific
288089LR,Jar,Resin Specific
048048LR,Jar,Resin Specific
048058LR,Jar,Resin Specific
640120RS,Jar,Resin Specific
064089LR,Jar,Resin Specific
112070LR,Jar,Resin Specific
288089LB,Jar,Resin Specific
LS013,,
32X200VB,Jar,Resin Specific
DF0306S9PP,dosage cup,
605300VC,Jar,Resin Specific
32X300VT,Jar,Resin Specific
605300VT,Jar,Resin Specific
